0;0;0;0;x;x
1;87;39;46;b_lumbridge;x
2;171;45;47;b_lumfarm;x
3;1;201;200;b_laumeast;x
4;129;18;199;b_lumnorth;x
5;85;72;51;b_eastlum;x
6;87;54;176;b_eastlumsouth;x
7;3;24;200;b_eastlumnorth;x
8;45;36;173;b_hamwick;x
9;129;42;174;b_hamwickb;x
10;169;114;87;b_hamwickc;x
11;3;33;45;b_hamwickd;x
12;129;27;44;b_hamwicke;x
13;171;30;172;b_millston;x
14;45;21;43;b_millstona;x
15;3;18;170;b_millstonb;x
16;129;153;94;b_millstonc;x
17;3;159;95;b_aldreth;x
18;169;78;52;b_aldretha;x
19;87;150;221;b_aldrethb;x
20;171;156;222;b_aldrethc;x
21;45;147;93;b_aldrethd;x
22;87;120;216;b_halburn;x
23;1;36;45;b_halburna;x
24;45;117;88;b_hallburnb;x
25;43;39;173;b_hallburnc;x
26;129;108;214;b_hallburnd;x
27;3;99;85;b_fenwick;x
28;45;57;78;b_fenwicka;x
29;85;180;161;b_fenwickb;x
30;1;210;195;b_fenwickc;x
31;87;60;206;b_fenwickd;x
32;3;54;205;b_fenwicke;x
33;3;69;80;b_draynor;x
34;171;51;77;b_draynora;x
35;127;183;34;b_draynorb;x
36;87;45;76;b_draynorc;x
37;129;48;204;b_draynord;x
38;169;207;67;b_draynore;x
39;171;66;207;b_draynorf;x
40;85;153;221;b_lumbridge;x
41;127;156;94;b_lumbridgea;x
42;85;165;31;b_lumbrdgeb;x
43;169;159;222;b_lumbridgec;x
44;175;54;177;b_lumbridged;x
45;7;57;50;b_lumbridgee;x
46;1;27;200;b_lumbridgef;x
47;85;18;71;b_lumbridgeg;x
48;176;9;97;b_norbridge;x
49;169;174;97;b_norbridgea;x
50;1;177;225;b_norbridgeb;x
51;169;171;32;b_norbridgec;x
52;129;138;219;b_norbridged;x
53;87;135;91;b_arbury;x
54;45;132;218;b_arburya;x
55;85;186;191;b_arburyb;x
56;92;60;41;b_arburyc;x
57;3;129;90;b_arburyd;x
58;129;93;84;b_kingston;x
59;129;78;209;b_kingstona;x
60;3;84;210;b_kingstonb;x
61;171;81;82;b_kingstonc;x
62;129;63;79;b_kingstond;x
63;43;162;158;b_wormbrain;x
64;175;129;62;b_wormbraina;x
65;91;108;186;b_wormbrainb;x
66;133;111;59;b_wormbrainc;x
67;169;156;157;b_womrbraind;x
68;85;27;171;b_alton;x
69;126;90;204;b_altona;x
70;85;99;141;b_altonb;x
71;168;93;77;b_altonc;x
72;169;84;82;b_senntisten;x
73;169;69;207;b_senntistena;x
74;49;150;193;b_senntistenb;x
75;1;189;35;b_senntistenc;x
76;85;39;131;b_senntistend;x
77;126;105;79;b_senntistene;x
78;84;45;161;b_contela;x
79;127;117;144;b_contelaa;x
80;1;78;10;b_contelab;x
81;1;87;210;b_contelac;x
82;3;126;25;b_varrock;x
83;129;120;24;b_varrocka;x
84;127;111;214;b_varrockb;x
85;45;129;153;b_varrockc;x
86;87;192;36;b_varrockd;x
87;171;123;152;b_varrocke;x
88;171;198;37;b_varrockf;x
89;127;57;84;b_varrockg;x
90;3;177;190;b_felmond;x
91;45;165;188;b_felmonda;x
92;42;99;78;b_felmondb;x
93;171;174;62;b_felmonc;x
94;43;192;163;b_albrigh;x
95;3;180;210;b_albrigha;x
96;85;114;16;b_albrighb;x
97;129;174;209;b_albrighc;x
98;38;90;14;b_wizard;x
99;141;160;132;b_wizarda;x
100;194;188;188;b_wizardb;x
101;178;50;50;b_tutoria;x
102;24;134;135;b_tutoriaa;x
103;228;255;24;b_tutoriab;x
104;182;188;138;b_tutorialc;x
105;169;144;92;b_skipton;x
